workerIdHash,age,gender,area,decision,a_host_id,b_host_id,a_trust,b_trust,state,choice
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,22414188,817624,86.3888888889,45.6666666667,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,290662,4870158,86.7222222222,61.0,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,3078168,2374185,49.3333333333,86.6666666667,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,4228996,1206902,80.0,64.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,2904960,43613912,61.3333333333,87.0,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,14766201,4727511,74.0,37.2222222222,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,34214627,41760163,85.8333333333,59.3333333333,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,35215036,11358448,46.0,73.0,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,875739,11555627,84.0,59.25,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,12582859,3126520,18.0,72.7777777778,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,5976835,7519116,83.3333333334,42.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,4228996,16551725,80.0,55.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,1103558,4393276,76.0,57.0,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,29688938,40913940,76.0,37.5,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,10003458,10212420,76.0,52.3333333333,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,1821106,425988,56.3333333333,78.6666666667,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4679279,22023014,55.3333333333,80.6666666667,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4143909,8475198,52.0,79.4444444444,L,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,2276607,24705035,62.3333333333,82.5,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,4244052,16551725,81.3333333333,55.6666666667,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,9630766,3143600,79.0,61.3333333333,H,L
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,24943839,1574784,48.6666666667,77.3333333333,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,4220709,207419,58.3333333333,82.0,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,33251473,7821007,52.3333333333,85.0,L,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,3126520,5918937,72.7777777778,49.0,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,1,4244052,3458990,81.3333333333,58.0,H,H
3c66e072b0e420b881caa60516a316f65d1221a64eea7c8ddb3d51f4,30,Male,Suburban,0,2895587,25206844,51.3333333333,82.3333333333,L,H
