host_id,host_about,sentence_cnt,WC,room_type_c,market,host_is_superhost,interestsTastes,lifeMottoValues,workEducation,relationships,personality,originResidence,travel,hospitality,other
5654677,artist dog lover!,1,3,Private or Shared Room,Chicago,f,1,0,1,0,0,0,0,0,0
25465207,I'm a grad student of Arts Management in Chicago. I'm from Shanghai China and hope to visit more places in the States. I'm always finding out what exactly I like and I love to try new things. ,3,37,Private or Shared Room,Chicago,f,1,0,1,0,0,2,1,0,0
7487742,I enjoy playing and watching sports and listening to music...all types and all sorts!,1,15,Entire Home/Apt,Chicago,f,1,0,0,0,0,0,0,0,0
19518653,"Hello! 
I am a well travelled guy who has been all over the world. I am a true budget traveller and that is why I set up this profile and my condo to answer to the needs of the traveller who share the same values as I do. I enjoy meeting and hosting travelers from all walks of life and every corner of the globe.

I always keep my place clean. After hosting and being hosted in different places by different people, I realized that not everybody has the same manners or understanding. Or not everybody was thought basic manners at home when they were young. 

The whole purpose of setting this profile was *to help* people and give back a little to return the good karma that was given to me by others. I know I am helping to people and *giving them a deal*, so remember that if you appreciate my hospitality you can always come back. My intent is to create a pool of regular guests and future friendships based on this.

I am a very caring and considerate host; also I am a very busy person and my life does not shape around Airbnb and I do this as a hobby. If I decline your request without prodviding a reason it means I am either travelling for work or using the place for other purposes. Do not seek other meanings behind that.

Good luck.",14,238,Entire Home/Apt,Chicago,f,0,1,0,0,1,0,2,8,1
15449898,Business owner/student living and enjoying life in a beautiful city! ,1,11,Private or Shared Room,Chicago,f,0,0,1,0,0,1,0,0,0
2388819,"My partner and I moved from St. Louis to Chicago 8 years ago. I work in the HR consulting field and help with an annual circus festival.  Amy works in publishing. We love entertaining, cook often and spend lots of time in nearby Andersonville. We love the arts, great food and can definitely recommend a variety of great things to do in Chicago.",5,62,Private or Shared Room,Chicago,f,3,0,2,0,0,3,0,1,0
21332030,"I'm a California transplant loving all that Chicago has to offer, whether it's at the slew of outdoor music festivals, trying a new neighborhood restaurant, or sipping up some local craft beers.",1,32,Private or Shared Room,Chicago,f,1,0,0,0,0,1,0,0,0
4010906,"The Elect Lady Grayer is the Founder of the Works of Elohim International Inc.  She is the Director of the Omega Mansion/Bronzeville, an Entrepreneur and Author of Books: ""Don't Shoot - I'm Already Wounded,"" ""Morning Glory,"" - Book of Poems, ""A Mother's Love"" - Keep Sake Journal, and ""Come and Dine"" - A soulful Cook Book, and others to come.  Passionate Worshippers of Yeshua/Jesus.",2,62,Private or Shared Room,Chicago,f,0,0,1,0,0,0,0,0,0
14008508,"Hello, I'm Mat Meadows and I've been the General Manager at Chicago Getaway Hostel for a little over 5 years.  I've lived in Chicago since 2006, and now call the Uptown neighborhood of Chicago home.  I live with my dog Maggie and am always on the run.

In addition to working in a career I love - entertaining, eating out, trying new bars, traveling, Volkswagen cars, vintage Holiday Inn memorabilia and hitting the gym often.

Myself and the great team of Chicago Getaway Hostel look forward to welcoming you to the Windy City and showing you all the city has to offer.  Our top-rated Chicago will make you feel at home.",6,109,Private or Shared Room,Chicago,f,1,0,2,1,0,4,1,3,0
5760690,"Lawyer by day; musician by evening; socialite by night. 

I enjoy all the unique benefits of living in Chicago: the cultural scene (like the Chicago Symphony and resident dance companies), the diversity of people (especially because I live in Lakeview/Boystown), the sights (like the shores of Lake Michigan and stunning skyscrapers), the food offerings (like the great restaurants in the West Loop and the cheap eats in Lincoln Park), and the night life (like my neighborhood bars/clubs and swankier places downtown).",2,83,Entire Home/Apt,Chicago,f,2,0,1,0,0,1,0,0,0
22377801,"I am an easy going, intellectually curious, and friendly person. I am the guy at the hotel or airport lounge starting conversations with other travelers. 

I enjoy spending time with my family and friends. Also, I enjoy writing and have several published books. One was a best seller. Photography is a favorite hobby of mine.

I am a professional project manager. I work as a consultant managing fairly large and expensive ERP projects for medium to large organizations.",8,78,Private or Shared Room,Chicago,f,3,0,2,1,2,0,0,0,1
3441704,"I am a professional classical musician freelancing throughout the Midwest. Originally from Ann Arbor, Michigan, I ended up in Chicago after attending Northwestern for graduate school. ",2,26,Entire Home/Apt,Chicago,f,0,0,2,0,0,1,0,0,0
35957542,20 something tech engineer living in the city. ,1,7,Private or Shared Room,Chicago,f,0,0,1,0,0,0,0,0,0
7958886,"I'm super clean, organized. I'm offering my apt just specifically days when I'm abroud traveling .! ",3,15,Entire Home/Apt,Chicago,f,0,0,0,0,1,0,0,1,1
5536302,"The night we decided to open our home to others on Airbnb, we had just suffered a tough pub trivia loss (insert plug here for Tuesdays at Simone's  Bar in Pilsen). We stopped for ice cream cookie sandwiches at Insomnia Cookies, came home, and ate them while reading the poetry of Dylan Thomas. That's us in a nutshell. 

We have both lived and traveled abroad, know and appreciate the experience of meeting and connecting with others, and in that spirit, we'd love to share our home with you. ",4,88,Private or Shared Room,Chicago,f,1,0,0,1,0,0,1,2,0
4027880,"We are a married couple living and working in Chicago. We both love running and traveling (and preferably both at the same time). When we travel we like to stay in unique places and experience the city we're in like locals, so we want to give people visiting Chicago the opportunity to do that as well.",3,56,Private or Shared Room,Chicago,t,1,0,0,1,0,1,2,0,0
1651592,I am from Chicago and I work for the fire dept here. I love to travel and enjoy great people around who love a good intellectual conversation.  I recently picked up a new sport of boxing.,3,36,Private or Shared Room,Chicago,f,1,0,1,0,1,1,1,0,0
14969803,"I'm a vivacious 25 year old with a passion for meeting new people and having all sorts of adventures.  I enjoy doing almost any activity including, but not limited to: soccer, football, festivals, museums, architecture tours, travel, playing darts & pool and many others.

My grandma and I purchased the condo in July of this year and have been on Airbnb ever since as a way to help with the mortgage.  
",3,69,Entire Home/Apt,Chicago,f,2,0,0,1,1,0,1,0,0
5067554,"26 year old 
Female
Like to go out, have fun,, volunteer for Lurie Children's Hospital
Hard worker- always networking in the Chicago startup scene
Foodie
Enjoy being active in the city
Big Cubs and Blackhawks fan",1,35,Entire Home/Apt,Chicago,f,1,0,0,0,1,1,0,0,0
1334363,"I love to travel - frequent U.S. coasts, been to Europe, Caribbean, South America. 
Have had the pleasure of staying at many unique hotels & residences and try to incorporate great ideas into my places.  I've been hosting since I was a toddler!  I grew up helping out with guests with my mom's beach house rental service, worked with it through college and now enjoy hosting in Chicago.

Spend more time at restaurants than the gym, but there's just too many great places in Chicago's ever-changing restaurant landscape!  Very experienced host -  (new to this site) that tries to exceed expectations and provide a top notch travel experience.  Enjoy hosting international travelers - always trying to practice hello in another language!",7,119,Entire Home/Apt,Chicago,t,1,0,0,0,0,2,2,5,0
