host_id,text,interestsTastes,lifeMottoValues,workEducation,relationships,personality,originResidence,travel,hospitality,other
5654677,artist dog lover!,1,0,1,0,0,0,0,0,0
25465207,I'm a grad student of Arts Management in Chicago.,0,0,1,0,0,1,0,0,0
25465207,I'm from Shanghai China and hope to visit more places in the States.,0,0,0,0,0,1,1,0,0
25465207,I'm always finding out what exactly I like and I love to try new things. ,1,0,0,0,0,0,0,0,0
7487742,I enjoy playing and watching sports and listening to music...all types and all sorts!,1,0,0,0,0,0,0,0,0
19518653,Hello!,0,0,0,0,0,0,0,1,0
19518653,I am a well travelled guy who has been all over the world.,0,0,0,0,0,0,1,0,0
19518653,I am a true budget traveller and that is why I set up this profile and my condo to answer to the needs of the traveller who share the same values as I do.,0,0,0,0,0,0,1,1,0
19518653,I enjoy meeting and hosting travelers from all walks of life and every corner of the globe.,0,0,0,0,0,0,0,1,0
19518653,I always keep my place clean.,0,0,0,0,1,0,0,0,0
19518653,"After hosting and being hosted in different places by different people, I realized that not everybody has the same manners or understanding.",0,0,0,0,0,0,0,1,0
19518653,Or not everybody was thought basic manners at home when they were young.,0,0,0,0,0,0,0,0,1
19518653,The whole purpose of setting this profile was *to help* people and give back a little to return the good karma that was given to me by others.,0,0,0,0,0,0,0,0,0
19518653,"I know I am helping to people and *giving them a deal*, so remember that if you appreciate my hospitality you can always come back.",0,0,0,0,0,0,0,1,0
19518653,My intent is to create a pool of regular guests and future friendships based on this.,0,0,0,0,0,0,0,1,0
19518653,I am a very caring and considerate host; also I am a very busy person and my life does not shape around Airbnb and I do this as a hobby.,0,0,0,0,0,0,0,1,0
19518653,If I decline your request without prodviding a reason it means I am either travelling for work or using the place for other purposes.,0,0,0,0,0,0,0,0,0
19518653,Do not seek other meanings behind that.,0,1,0,0,0,0,0,0,0
19518653,Good luck.,0,0,0,0,0,0,0,1,0
15449898,Business owner/student living and enjoying life in a beautiful city! ,0,0,1,0,0,1,0,0,0
2388819,My partner and I moved from St. Louis to Chicago 8 years ago.,0,0,0,0,0,1,0,0,0
2388819,I work in the HR consulting field and help with an annual circus festival.,1,0,1,0,0,0,0,0,0
2388819,Amy works in publishing.,0,0,1,0,0,0,0,0,0
2388819,"We love entertaining, cook often and spend lots of time in nearby Andersonville.",1,0,0,0,0,1,0,1,0
2388819,"We love the arts, great food and can definitely recommend a variety of great things to do in Chicago.",1,0,0,0,0,1,0,0,0
